Time (us),Voltage (V)
0,32.96554106
0.5,32.9149649
1,32.90484966
1.5,32.86438874
2,32.8542735
2.5,32.76323642
3,32.74300595
3.5,32.65196886
4,32.58116224
4.5,32.51035562
5,32.42943376
5.5,32.38897283
6,32.31816621
6.5,32.28782051
7,32.26759005
7.5,32.21701389
8,32.19678342
8.5,32.16643773
9,32.14620726
9.5,32.08551587
10,32.04505495
10.5,31.97424832
11,31.92367216
11.5,31.86298077
12,31.80228938
12.5,31.78205891
13,31.73148275
13.5,31.69102183
14,31.68090659
14.5,31.67079136
15,31.64044567
15.5,31.59998474
16,31.53929335
16.5,31.51906288
17,31.47860195
17.5,31.43814103
18,31.34710394
18.5,31.33698871
19,31.31675824
19.5,31.28641255
20,31.21560592
20.5,31.22572115
21,31.17514499
21.5,31.18526023
22,31.13468407
22.5,31.12456883
23,31.09422314
23.5,31.06387744
24,31.02341651
24.5,31.00318605
25,30.98295559
25.5,30.94249466
26,30.95260989
26.5,30.8919185
27,30.8615728
27.5,30.84134234
28,30.80088141
28.5,30.78065095
29,30.78065095
29.5,30.76042048
30,30.73007479
30.5,30.70984432
31,30.67949863
31.5,30.62892247
32,30.6390377
32.5,30.58846154
33,30.58846154
33.5,30.54800061
34,30.51765491
34.5,30.52777015
35,30.48730922
35.5,30.48730922
36,30.47719399
36.5,30.43673306
37,30.44684829
37.5,30.3861569
38,30.39627213
38.5,30.36592643
39,30.33558074
39.5,30.32546551
40,30.31535027
40.5,30.31535027
41,30.26477411
41.5,30.30523504
42,30.23442842
42.5,30.28500458
43,30.23442842
43.5,30.23442842
44,30.20408272
44.5,30.18385226
45,30.17373703
45.5,30.17373703
46,30.15350656
46.5,30.11304563
47,30.12316087
47.5,30.12316087
48,30.1332761
48.5,30.05235424
49,30.15350656
49.5,30.07258471
50,30.06246947
50.5,30.02200855
51,30.06246947
51.5,30.00177808
52,30.04223901
52.5,29.98154762
53,30.02200855
53.5,30.01189332
54,29.98154762
54.5,29.98154762
55,29.97143239
55.5,29.97143239
56,29.96131716
56.5,29.94108669
57,29.93097146
57.5,29.910741
58,29.89051053
58.5,29.89051053
59,29.8803953
59.5,29.8803953
60,29.8803953
60.5,29.8803953
61,29.8500496
61.5,29.83993437
62,28.32264957
62.5,24.90370116
63,22.69858059
63.5,20.49346001
64,20.65530372
64.5,21.41394612
65,21.20152625
65.5,21.25210241
66,21.17118056
66.5,21.15095009
67,21.17118056
67.5,21.17118056
68,21.18129579
68.5,21.16106532
69,21.20152625
69.5,21.17118056
70,21.21164148
70.5,21.20152625
71,21.18129579
71.5,21.20152625
72,21.20152625
72.5,21.21164148
73,21.21164148
73.5,21.18129579
74,21.20152625
74.5,21.20152625
75,21.20152625
75.5,21.18129579
76,21.20152625
76.5,21.20152625
77,21.18129579
77.5,21.21164148
78,21.18129579
78.5,21.18129579
79,21.18129579
79.5,21.15095009
80,21.16106532
80.5,21.19141102
81,21.14083486
81.5,21.15095009
82,21.15095009
82.5,21.18129579
83,21.14083486
83.5,21.15095009
84,21.13071963
84.5,21.15095009
85,21.13071963
85.5,21.13071963
86,21.0902587
86.5,21.14083486
87,21.0902587
87.5,21.1206044
88,21.08014347
88.5,21.11048916
89,21.10037393
89.5,21.08014347
90,21.0902587
90.5,21.059913
91,21.10037393
91.5,21.1206044
92,21.059913
92.5,21.04979777
93,21.059913
93.5,21.059913
94,21.03968254
94.5,21.03968254
95,21.03968254
95.5,21.01945208
96,21.00933684
96.5,20.99922161
97,21.059913
97.5,21.00933684
98,21.00933684
98.5,20.99922161
99,21.01945208
99.5,20.97899115
100,20.98910638
100.5,20.97899115
101,20.97899115
101.5,20.97899115
102,20.97899115
102.5,22.01074481
103,25.04531441
103.5,27.54377671
104,29.18244429
104.5,30.58846154
105,31.1144536
105.5,31.98436355
106,32.51035562
106.5,32.79358211
107,33.29934371
107.5,33.51176358
108,33.75452915
108.5,33.94671856
109,34.1490232
109.5,34.32098214
110,34.46259539
110.5,34.57386294
111,34.67501526
111.5,34.77616758
112,34.82674374
112.5,34.83685897
113,34.83685897
113.5,34.86720467
114,34.82674374
114.5,34.84697421
115,34.76605235
115.5,34.78628281
116,34.70536096
116.5,34.68513049
117,34.6547848
117.5,34.57386294
118,34.53340201
118.5,34.47271062
119,34.44236493
119.5,34.35132784
120,34.30075168
120.5,34.25017552
121,34.16925366
121.5,34.12879274
122,34.05798611
122.5,34.02764042
123,33.91637286
123.5,33.8961424
124,33.84556624
124.5,33.75452915
125,33.70395299
125.5,33.6432616
126,33.60280067
126.5,33.53199405
127,33.48141789
127.5,33.50164835
128,33.40049603
128.5,33.30945894
129,33.30945894
129.5,33.19819139
130,33.19819139
130.5,33.1071543
131,33.05657814
131.5,32.97565629
132,32.96554106
132.5,32.9149649
133,32.83404304
133.5,32.79358211
134,32.74300595
134.5,32.71266026
135,32.67219933
135.5,32.59127747
136,32.59127747
136.5,32.51035562
137,32.45977946
137.5,32.42943376
138,32.36874237
138.5,32.31816621
139,32.26759005
139.5,32.23724435
140,32.18666819
140.5,32.17655296
141,32.10574634
141.5,32.11586157
142,32.03493971
142.5,32.01470925
143,31.97424832
143.5,31.93378739
144,31.873096
144.5,31.84275031
145,31.85286554
145.5,31.76182845
146,31.81240461
146.5,31.71125229
147,31.70113706
147.5,31.64044567
148,31.6202152
148.5,31.59998474
149,31.55952381
149.5,31.54940858
150,31.51906288
150.5,31.47860195
151,31.43814103
151.5,31.40779533
152,31.35721917
152.5,31.35721917
153,31.31675824
153.5,31.30664301
154,31.25606685
154.5,31.24595162
155,31.19537546
155.5,31.18526023
156,31.17514499
156.5,31.1447993
157,31.1144536
157.5,31.1144536
158,31.06387744
158.5,31.04364698
159,31.01330128
159.5,31.01330128
160,30.97284035
160.5,30.96272512
161,30.90203373
161.5,30.92226419
162,30.87168803
162.5,30.84134234
163,30.84134234
163.5,30.82111187
164,30.79076618
164.5,30.75030525
165,30.76042048
165.5,30.76042048
166,30.73007479
166.5,30.71995955
167,30.71995955
167.5,30.67949863
168,30.68961386
168.5,30.6390377
169,30.64915293
169.5,30.59857677
170,30.58846154
170.5,30.59857677
171,30.53788538
171.5,30.55811584
172,30.52777015
172.5,30.54800061
173,30.49742445
173.5,30.49742445
174,30.47719399
174.5,30.47719399
175,30.44684829
175.5,30.45696352
176,30.42661783
176.5,30.43673306
177,30.3861569
177.5,30.40638736
178,30.36592643
178.5,30.3861569
179,30.34569597
179.5,30.34569597
180,30.30523504
180.5,30.34569597
181,30.34569597
181.5,30.30523504
182,30.28500458
182.5,30.29511981
183,30.28500458
183.5,30.26477411
184,30.24454365
184.5,30.23442842
185,30.20408272
185.5,30.20408272
186,30.18385226
186.5,30.16362179
187,28.49460852
187.5,24.73174222
188,22.79973291
188.5,20.73622558
189,20.47322955
189.5,21.40383089
190,21.23187195
190.5,21.25210241
191,21.16106532
191.5,21.1206044
192,21.17118056
192.5,21.18129579
193,21.18129579
193.5,21.17118056
194,21.14083486
194.5,21.17118056
195,21.17118056
195.5,21.20152625
196,21.20152625
196.5,21.16106532
197,21.18129579
197.5,21.20152625
198,21.18129579
198.5,21.20152625
199,21.17118056
199.5,21.18129579
200,21.17118056
200.5,21.18129579
201,21.19141102
201.5,21.14083486
202,21.18129579
202.5,21.16106532
203,21.18129579
203.5,21.16106532
204,21.17118056
204.5,21.17118056
205,21.17118056
205.5,21.16106532
206,21.16106532
206.5,21.16106532
207,21.16106532
207.5,21.13071963
208,21.13071963
208.5,21.14083486
209,21.13071963
209.5,21.14083486
210,21.13071963
210.5,21.11048916
211,21.16106532
211.5,21.10037393
212,21.0902587
212.5,21.11048916
213,21.1206044
213.5,21.059913
214,21.10037393
214.5,21.07002824
215,21.059913
215.5,21.07002824
216,21.059913
216.5,21.059913
217,21.059913
217.5,21.059913
218,21.059913
218.5,21.03968254
219,21.04979777
219.5,21.01945208
220,21.00933684
220.5,21.01945208
221,21.00933684
221.5,21.01945208
222,21.00933684
222.5,20.97899115
223,20.99922161
223.5,20.99922161
224,20.98910638
224.5,21.059913
225,20.97899115
225.5,20.97899115
226,20.95876068
226.5,20.96887592
227,20.96887592
227.5,22.12201236
228,25.16669719
228.5,27.74608135
229,29.41509463
229.5,30.71995955
230,31.32687347
230.5,32.1259768
231,32.53058608
231.5,33.44095696
232,33.51176358
232.5,33.8657967
233,34.09844704
233.5,34.28052121
234,34.49294109
234.5,34.66490003
235,34.78628281
235.5,34.89755037
236,34.96835699
236.5,35.04927885
237,35.07962454
237.5,35.08973977
238,35.10997024
238.5,35.1302007
239,35.09985501
239.5,35.08973977
240,35.01893315
240.5,35.01893315
241,35.00881792
241.5,34.92789606
242,34.88743513
242.5,34.82674374
243,34.72559142
243.5,34.73570665
244,34.63455433
244.5,34.60420864
245,34.51317155
245.5,34.50305632
246,34.39178877
246.5,34.38167353
247,34.30075168
247.5,34.25017552
248,34.20971459
248.5,34.13890797
249,34.10856227
249.5,33.99729472
250,34.00740995
250.5,33.87591194
251,33.84556624
251.5,33.78487485
252,33.74441392
252.5,33.60280067
253,33.63314637
253.5,33.54210928
254,33.50164835
254.5,33.41061126
255,33.38026557
255.5,33.30945894
256,33.28922848
256.5,33.20830662
257,33.1678457
257.5,33.12738477
258,33.06669338
258.5,33.04646291
259,32.95542582
259.5,32.89473443
260,32.8542735
260.5,32.81381258
261,32.77335165
261.5,32.70254502
262,32.67219933
262.5,32.6317384
263,32.57104701
263.5,32.53058608
264,32.51035562
264.5,32.45977946
265,32.41931853
265.5,32.38897283
266,32.33839667
266.5,32.28782051
267,32.23724435
267.5,32.20689866
268,32.13609203
268.5,32.14620726
269,32.07540064
269.5,32.06528541
270,32.00459402
270.5,31.99447879
271,31.92367216
271.5,31.93378739
272,31.86298077
272.5,31.85286554
273,31.81240461
273.5,31.78205891
